Time [s],Packet ID,MOSI,MISO
0.490813875000000,0,'253' (0xFD),'0' (0x00)
0.490818500000000,0,'196' (0xC4),'3' (0x03)
0.490836500000000,1,'239' (0xEF),'16' (0x10)
0.490840750000000,1,r (0x72),'0' (0x00)
0.490845875000000,1,'0' (0x00),C (0x43)
0.992047500000000,2,'239' (0xEF),'16' (0x10)
0.992051875000000,2,q (0x71),'0' (0x00)
0.992056875000000,2,'0' (0x00),'248' (0xF8)
0.992070375000000,3,'239' (0xEF),'16' (0x10)
0.992074625000000,3,r (0x72),'0' (0x00)
0.992079500000000,3,'0' (0x00),G (0x47)
1.284414250000000,4,'239' (0xEF),'15' (0x0F)
1.284418500000000,4,'215' (0xD7),'0' (0x00)
1.284423750000000,4,'0' (0x00),'27' (0x1B)
1.284437375000000,5,'255' (0xFF),'15' (0x0F)
1.284442375000000,5,'0' (0x00),'24' (0x18)
1.284447125000000,5,'0' (0x00),'1' (0x01)
1.284451625000000,5,'0' (0x00),'0' (0x00)
1.284456375000000,5,'0' (0x00),l (0x6C)
1.284460875000000,5,'0' (0x00)," (0x22)
1.284465500000000,5,'0' (0x00),! (0x21)
1.284470000000000,5,'0' (0x00),'207' (0xCF)
1.284474750000000,5,'0' (0x00),'19' (0x13)
1.284479250000000,5,'0' (0x00),'0' (0x00)
1.284484000000000,5,'0' (0x00),M (0x4D)
1.284488500000000,5,'0' (0x00),'175' (0xAF)
1.284493125000000,5,'0' (0x00),+ (0x2B)
1.284497625000000,5,'0' (0x00),J (0x4A)
1.284502375000000,5,'0' (0x00),s (0x73)
1.284506875000000,5,'0' (0x00),'1' (0x01)
1.284511625000000,5,'0' (0x00),'229' (0xE5)
1.284516125000000,5,'0' (0x00),'6' (0x06)
1.284520875000000,5,'0' (0x00),h (0x68)
1.284525750000000,5,'0' (0x00),l (0x6C)
1.284530500000000,5,'0' (0x00),4 (0x34)
1.284535000000000,5,'0' (0x00),'21' (0x15)
1.284539750000000,5,'0' (0x00),'160' (0xA0)
1.284544250000000,5,'0' (0x00),l (0x6C)
1.284549000000000,5,'0' (0x00),'22' (0x16)
1.284553625000000,5,'0' (0x00),'226' (0xE2)
1.284558375000000,5,'0' (0x00),'4' (0x04)
1.284581250000000,6,'182' (0xB6),'0' (0x00)
1.284594500000000,7,o (0x6F),'15' (0x0F)
1.284618125000000,7,'12' (0x0C),'0' (0x00)
1.284623375000000,7,l (0x6C),'15' (0x0F)
1.284637500000000,8,o (0x6F),'15' (0x0F)
1.284641750000000,8,\r (0x0D),'0' (0x00)
1.284647000000000,8,z (0x7A),'15' (0x0F)
1.284661250000000,9,o (0x6F),'15' (0x0F)
1.284665375000000,9,'14' (0x0E),'0' (0x00)
1.284670625000000,9,'225' (0xE1),'15' (0x0F)
1.284685875000000,10,'186' (0xBA),'0' (0x00)
1.284697750000000,11,'180' (0xB4),'0' (0x00)
1.292862500000000,12,'182' (0xB6),'16' (0x10)
1.292878500000000,13,^ (0x5E),'30' (0x1E)
1.292883125000000,13,'24' (0x18),'0' (0x00)
1.292902375000000,14,o (0x6F),'15' (0x0F)
1.292906625000000,14,'5' (0x05),'0' (0x00)
1.292926000000000,15,o (0x6F),'15' (0x0F)
1.292930250000000,15,'14' (0x0E),'0' (0x00)
1.292970750000000,16,'186' (0xBA),'0' (0x00)
1.292982500000000,17,'187' (0xBB),'0' (0x00)
1.292995125000000,18,'127' (0x7F),'15' (0x0F)
1.293000625000000,18,/ (0x2F),'15' (0x0F)
1.293005375000000,18,'1' (0x01),'15' (0x0F)
1.293010125000000,18,'0' (0x00),'15' (0x0F)
1.293014875000000,18,l (0x6C),'15' (0x0F)
1.293019875000000,18," (0x22),'15' (0x0F)
1.293024500000000,18,! (0x21),'15' (0x0F)
1.293029250000000,18,'224' (0xE0),'15' (0x0F)
1.293034000000000,18,'27' (0x1B),'15' (0x0F)
1.293039000000000,18,'0' (0x00),'15' (0x0F)
1.293043750000000,18,j (0x6A),'15' (0x0F)
1.293048500000000,18,'245' (0xF5),'15' (0x0F)
1.293053125000000,18,'211' (0xD3),'15' (0x0F)
1.293058125000000,18,'218' (0xDA),'15' (0x0F)
1.293062875000000,18,'229' (0xE5),'15' (0x0F)
1.293067625000000,18,'180' (0xB4),'15' (0x0F)
1.293072375000000,18,'176' (0xB0),'15' (0x0F)
1.293077375000000,18,'251' (0xFB),'15' (0x0F)
1.293082000000000,18,k (0x6B),'15' (0x0F)
1.293086750000000,18,'24' (0x18),'15' (0x0F)
1.293091500000000,18,'5' (0x05),'15' (0x0F)
1.293096500000000,18,'212' (0xD4),'15' (0x0F)
1.293101250000000,18,'242' (0xF2),'15' (0x0F)
1.293106000000000,18,'143' (0x8F),'15' (0x0F)
1.293110625000000,18,'129' (0x81),'15' (0x0F)
